Date,Light,Dark
2017-08-16,05:10,20:58
2017-08-17,05:12,20:56
2017-08-18,05:14,20:54
2017-08-19,05:16,20:51
2017-08-20,05:18,20:49
2017-08-21,05:19,20:47
2017-08-22,05:21,20:45
2017-08-23,05:23,20:42
2017-08-24,05:25,20:40
2017-08-25,05:26,20:38
2017-08-26,05:28,20:35
2017-08-27,05:30,20:33
2017-08-28,05:32,20:31
2017-08-29,05:33,20:28
2017-08-30,05:35,20:26
2017-08-31,05:37,20:24
2017-09-01,05:38,20:21
2017-09-02,05:40,20:19
2017-09-03,05:42,20:17
2017-09-04,05:44,20:14
2017-09-05,05:45,20:12
2017-09-06,05:47,20:10
2017-09-07,05:49,20:07
2017-09-08,05:50,20:05
2017-09-09,05:52,20:03
2017-09-10,05:54,20:00
2017-09-11,05:55,19:58
2017-09-12,05:57,19:56
2017-09-13,05:59,19:53
2017-09-14,06:00,19:51
2017-09-15,06:02,19:48
2017-09-16,06:04,19:46
2017-09-17,06:05,19:44
2017-09-18,06:07,19:41
2017-09-19,06:09,19:39
2017-09-20,06:10,19:37
2017-09-21,06:12,19:34
2017-09-22,06:14,19:32
2017-09-23,06:15,19:30
2017-09-24,06:17,19:27
2017-09-25,06:18,19:25
2017-09-26,06:20,19:23
2017-09-27,06:22,19:20
2017-09-28,06:23,19:18
2017-09-29,06:25,19:16
2017-09-30,06:27,19:14
2017-10-01,06:28,19:11
2017-10-02,06:30,19:09
2017-10-03,06:31,19:07
2017-10-04,06:33,19:05
2017-10-05,06:35,19:02
2017-10-06,06:36,19:00
2017-10-07,06:38,18:58
2017-10-08,06:40,18:56
2017-10-09,06:41,18:54
2017-10-10,06:43,18:51
2017-10-11,06:45,18:49
2017-10-12,06:46,18:47
2017-10-13,06:48,18:45
2017-10-14,06:49,18:43
2017-10-15,06:51,18:41
2017-10-16,06:53,18:39
2017-10-17,06:54,18:37
2017-10-18,06:56,18:35
2017-10-19,06:58,18:33
2017-10-20,06:59,18:31
2017-10-21,07:01,18:29
2017-10-22,07:03,18:27
2017-10-23,07:04,18:25
2017-10-24,07:06,18:23
2017-10-25,07:08,18:21
2017-10-26,07:09,18:19
2017-10-27,07:11,18:17
2017-10-28,07:13,18:16
2017-10-29,06:14,17:14
2017-10-30,06:16,17:12
2017-10-31,06:18,17:10
2017-11-01,06:19,17:09
2017-11-02,06:21,17:07
2017-11-03,06:22,17:05
2017-11-04,06:24,17:04
2017-11-05,06:26,17:02
2017-11-06,06:27,17:01
2017-11-07,06:29,16:59
2017-11-08,06:31,16:58
2017-11-09,06:32,16:56
2017-11-10,06:34,16:55
2017-11-11,06:35,16:53
2017-11-12,06:37,16:52
2017-11-13,06:39,16:51
2017-11-14,06:40,16:49
2017-11-15,06:42,16:48
2017-11-16,06:43,16:47
2017-11-17,06:45,16:46
2017-11-18,06:47,16:45
2017-11-19,06:48,16:44
2017-11-20,06:50,16:43
2017-11-21,06:51,16:42
2017-11-22,06:53,16:41
2017-11-23,06:54,16:40
2017-11-24,06:56,16:39
2017-11-25,06:57,16:38
2017-11-26,06:58,16:37
2017-11-27,07:00,16:37
2017-11-28,07:01,16:36
2017-11-29,07:02,16:35
2017-11-30,07:04,16:35
2017-12-01,07:05,16:34
2017-12-02,07:06,16:34
2017-12-03,07:08,16:33
2017-12-04,07:09,16:33
2017-12-05,07:10,16:33
2017-12-06,07:11,16:32
2017-12-07,07:12,16:32
2017-12-08,07:13,16:32
2017-12-09,07:14,16:32
2017-12-10,07:15,16:32
2017-12-11,07:16,16:32
2017-12-12,07:17,16:32
2017-12-13,07:18,16:32
2017-12-14,07:19,16:32
2017-12-15,07:20,16:32
2017-12-16,07:20,16:32
2017-12-17,07:21,16:32
2017-12-18,07:22,16:33
2017-12-19,07:22,16:33
2017-12-20,07:23,16:34
2017-12-21,07:24,16:34
2017-12-22,07:24,16:35
2017-12-23,07:25,16:35
2017-12-24,07:25,16:36
2017-12-25,07:25,16:36
2017-12-26,07:26,16:37
2017-12-27,07:26,16:38
2017-12-28,07:26,16:39
2017-12-29,07:26,16:40
2017-12-30,07:26,16:40
2017-12-31,07:26,16:41
